title,original_lang,popularity,vote_count,vote_average
John Wick,en,818.916,12063,7.2
Ad Astra,en,427.078,2778,6
Bad Boys for Life,en,372.268,2062,6.9
The Lion King,en,366.904,5043,7.1
Jurassic World: Fallen Kingdom,en,355.501,7153,6.5
Bloodshot,en,336.364,1153,7.3
Motherless Brooklyn,en,274.351,410,6.9
Transformers: The Last Knight,en,239.659,3720,6
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),en,228.535,2419,7.1
Barbie and the Diamond Castle,en,222.339,456,7.1
The Platform,es,222.136,1581,7.2
Underwater,en,194.985,434,6.4
Star Wars: The Rise of Skywalker,en,191.652,3704,6.5
Sonic the Hedgehog,en,189.881,1860,7.4
Hotel Transylvania 2,en,182.633,3620,6.7
Jumanji: The Next Level,en,167.871,2811,6.8
The Invisible Man,en,162.811,1080,7.1
Atlantis: The Lost Empire,en,148.821,2966,6.9
Geostorm,en,141.067,2670,5.8
Onward,en,140.272,746,8
Die Hard: With a Vengeance,en,138.923,3722,7.1
Daughter of Darkness 2,en,137.227,4,4.8
The Hunt,en,136.282,266,6.7
The Call of the Wild,en,136.258,328,6.7
13 Hours: The Secret Soldiers of Benghazi,en,131.957,1867,7.1
Parasite,ko,130.301,5883,8.5
Cinderella II: Dreams Come True,en,118.121,853,5.9
Joker,en,117.351,10698,8.2
Gladiator,en,114.535,11270,8.1
F#*@BOIS,tl,114.25,6,7.9
Knives Out,en,112.795,3204,7.8
Behind Enemy Lines III: Colombia,en,110.603,68,4.9
The Gentlemen,en,110.16,641,7.9
1917,en,109.728,3884,7.9
Asterix: The Secret of the Magic Potion,fr,104.43,662,6.9
Dolittle,en,102.648,1000,6.8
Contagion,en,101.76,3070,6.5
Female Urologists 2,ko,101.71,1,1
The Goonies,en,100.225,3364,7.5
Cars,en,99.351,8962,6.8
One Flew Over the Cuckoo's Nest,en,98.291,6413,8.4
Licence to Kill,en,97.497,1039,6.2
A Rainy Day in New York,en,97.485,760,6.6
Miracle in Cell No. 7,tr,96.186,1176,8.5
Little Women,en,94.013,1611,8
Frozen II,en,93.549,3474,7.1
Harry Potter and the Philosopher's Stone,en,92.385,16137,7.9
365 Days,es,90.714,92,5.6
Percy Jackson: Sea of Monsters,en,89.963,3524,5.9
Ant-Man,en,84.987,13561,7.1
John Wick: Chapter 3 - Parabellum,en,84.149,4251,7.2
Once Upon a Time¡­ in Hollywood,en,83.312,5367,7.5
Spies in Disguise,en,79.49,596,7.5
Star Wars,en,79.103,13176,8.2
Escape from Pretoria,en,78.963,62,6.6
Aladdin,en,75.356,5274,7
The Lord of the Rings: The Fellowship of the Ring,en,74.031,16375,8.3
Avengers: Infinity War,en,72.853,17321,8.3
Recep ?vedik 6,tr,71.596,21,4.4
Ant-Man and the Wasp,en,71.027,7951,7
Maleficent: Mistress of Evil,en,70.879,2303,7.3
Terminator: Dark Fate,en,70.837,1898,6.4
The Decline,fr,69.042,59,7
Vivarium,en,68.947,69,5.6
6 Below: Miracle on the Mountain,en,68.531,205,5.7
Spider-Man: Far from Home,en,68.432,6567,7.5
Ford v Ferrari,en,67.389,2157,7.8
Mission: Impossible - Fallout,en,67.389,4790,7.3
Midway,en,66.617,579,6.9
The Way Back,en,66.499,76,6.5
Spenser Confidential,en,66.031,667,6.7
Ultras,it,65.61,182,6.4
Dante's Inferno: An Animated Epic,en,64.355,132,6.1
The Bourne Ultimatum,en,63.025,4990,7.4
Olympus Has Fallen,en,62.371,4607,6.3
John Wick: Chapter 2,en,62.234,7314,7.1
The Twilight Saga: Eclipse,en,62.177,5654,6.1
The Occupant,es,61.168,185,6.4
The Lord of the Rings: The Return of the King,en,60.456,14940,8.4
Harry Potter and the Chamber of Secrets,en,60.283,13598,7.7
Milea: Suara dari Dilan,id,60.257,14,5.5
Guns Akimbo,en,59.938,304,6.3
Just Mercy,en,59.735,377,8.1
Jojo Rabbit,en,59.517,2760,8.1
"Kamen Rider Zi-O NEXT TIME: Geiz, Majesty",ja,59.34,7,6.9
A Very Harold & Kumar Christmas,en,58.701,568,6
Zootopia,en,57.149,11285,7.7
Fast & Furious Presents: Hobbs & Shaw,en,56.263,2894,6.6
The Shawshank Redemption,en,56.259,15423,8.7
Gemini Man,en,55.917,1697,6
Uncorked,en,55.843,39,6.4
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",en,55.811,919,6.2
Captain Marvel,en,55.448,8695,7
Scooby-Doo! and the Monster of Mexico,en,54.95,102,6.5
Avengers: Endgame,en,54.739,12073,8.3
Rambo: Last Blood,en,54.627,1439,6.1
Pirates of the Caribbean: The Curse of the Black Pearl,en,54.587,13978,7.7
The Irishman,en,54.431,3048,7.7
It Chapter Two,en,54.417,3549,6.8
Red Shoes and the Seven Dwarfs,en,54.02,115,6.5
Gone Girl,en,53.263,12076,7.9
